location,facilities,
Kuala Lumpur  Seputeh,"Security, Swimming Pool, Gymnasium, Parking, Lift",", "
Kuala Lumpur  Setapak,"Playground, Swimming Pool, Jogging Track, Lift, Barbeque area, Sauna, Squash Court, Multipurpose hall, Parking, Security, Minimart, Gymnasium, Tennis Court",", , Near KTM/LRT, "
Kuala Lumpur  Keramat,,
Kuala Lumpur  Ampang,"Playground, Minimart",
Kuala Lumpur  Gombak,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Squash Court, Multipurpose hall, Playground, Swimming Pool, Security, Gymnasium, Lift, Barbeque area, Sauna, Club house, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Pantai,"Parking, Swimming Pool, Multipurpose hall, Security, Minimart, Playground, Lift",", Near KTM/LRT"
Kuala Lumpur  Sri Hartamas,"Security, Playground, Squash Court, Barbeque area, Swimming Pool, Gymnasium, Tennis Court, Lift, Parking",", , "
Kuala Lumpur  Titiwangsa,"Swimming Pool, Jogging Track, Gymnasium, Multipurpose hall, Barbeque area, Security, Playground, Parking, Lift, Sauna, Minimart, Club house, Tennis Court, Squash Court",", , , Near KTM/LRT"
Kuala Lumpur  Sungai Besi,"Barbeque area, Sauna, Minimart, Gymnasium, Parking, Squash Court, Club house, Multipurpose hall, Security, Playground, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Keramat,"Security, Parking",
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Swimming Pool, Squash Court, Barbeque area, Minimart, Gymnasium, Jogging Track, Sauna, Multipurpose hall, Club house, Playground, Tennis Court, Lift, Parking, Security",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Pantai,"Minimart, Security, Playground, Multipurpose hall, Parking, Swimming Pool",", "
Kuala Lumpur  Sentul,"Minimart, Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,,
Kuala Lumpur  Setapak,,
Kuala Lumpur  Sungai Besi,"Parking, Gymnasium, Jogging Track, Security, Swimming Pool",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Old Klang Road,"Parking, Swimming Pool, Tennis Court, Security, Playground",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart",", , Near KTM/LRT"
Kuala Lumpur  KL City,,
Kuala Lumpur  Sri Petaling,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Squash Court",", Near KTM/LRT"
Kuala Lumpur  City Centre,"Playground, Gymnasium, Barbeque area, Parking, Swimming Pool, Security, Lift, Multipurpose hall",", "
Kuala Lumpur  Sri Petaling,"Security, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Tennis Court, Parking",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Minimart, Parking, Jogging Track, Lift, Playground",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Lift, Parking, Playground",
Kuala Lumpur  Kuchai Lama,"Tennis Court, Parking, Swimming Pool, Squash Court",
Kuala Lumpur  Sentul,"Playground, Barbeque area, Multipurpose hall, Security, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Ampang,"Parking, Security, Playground, Jogging Track",", Near KTM/LRT, "
Kuala Lumpur  Sentul,"Playground, Barbeque area, Multipurpose hall, Security, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Solaris Dutamas,"Gymnasium, Swimming Pool, Tennis Court, Playground, Club house, Security, Minimart, Jogging Track, Parking",", "
Kuala Lumpur  Sentul,"Lift, Playground, Minimart",
Kuala Lumpur  Pantai,"Swimming Pool, Parking, Security, Playground, Multipurpose hall, Minimart",
Kuala Lumpur  Cheras,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Club house, Jogging Track",", "
Kuala Lumpur  Sri Hartamas,"Parking, Security, Swimming Pool, Playground, Gymnasium, Jogging Track, Barbeque area, Club house, Squash Court, Sauna",", , "
Kuala Lumpur  Cheras,"Minimart, Jogging Track, Parking, Swimming Pool, Gymnasium, Security",Near KTM/LRT
Kuala Lumpur  Old Klang Road,"Sauna, Swimming Pool, Jogging Track, Playground, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area",", Near KTM/LRT"
Kuala Lumpur  Sentul,"Security, Minimart, Playground, Gymnasium, Parking, Swimming Pool, Squash Court",", Near KTM/LRT, , "
Kuala Lumpur  Old Klang Road,"Playground, Jogging Track, Barbeque area, Gymnasium, Sauna, Swimming Pool, Multipurpose hall, Security",", , "
Kuala Lumpur  Sri Petaling,,", , "
Kuala Lumpur  Taman Desa,"Playground, Parking",", , "
Kuala Lumpur  Bukit Jalil,,", , "
Kuala Lumpur  Sri Petaling,"Swimming Pool, Sauna, Tennis Court, Club house, Parking, Security, Gymnasium, Barbeque area",", , "
Kuala Lumpur  Bukit Jalil,"Minimart, Swimming Pool, Jogging Track, Barbeque area, Sauna, Parking, Playground, Gymnasium, Security",", , Near KTM/LRT, "
Kuala Lumpur  Sri Hartamas,,", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Multipurpose hall, Playground, Jogging Track, Barbeque area, Swimming Pool, Tennis Court, Gymnasium, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Parking, Swimming Pool, Security, Gymnasium",
Kuala Lumpur  Cheras,"Swimming Pool, Parking, Playground, Multipurpose hall, Security, Gymnasium, Club house, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Keramat,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Keramat,"Swimming Pool, Tennis Court, Minimart, Gymnasium, Parking, Security, Playground, Squash Court, Lift, Sauna",", , Near KTM/LRT, "
Kuala Lumpur  KL City,"Parking, Lift, Playground, Swimming Pool, Security, Minimart, Gymnasium, Barbeque area, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Pantai,"Security, Parking, Jogging Track, Sauna, Playground, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall",", "
Kuala Lumpur  Sentul,"Parking, Security, Swimming Pool, Lift, Gymnasium, Multipurpose hall, Playground",
Kuala Lumpur  Titiwangsa,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Sauna, Barbeque area, Playground",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Ampang,"Security, Gymnasium, Barbeque area, Swimming Pool, Jogging Track, Multipurpose hall, Playground, Sauna",
Kuala Lumpur  Cheras,"Parking, Security, Minimart, Lift, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",", Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Security, Swimming Pool, Parking, Gymnasium, Barbeque area, Minimart, Playground",", Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Swimming Pool, Gymnasium, Multipurpose hall, Playground, Jogging Track, Barbeque area, Security, Lift",", , "
Kuala Lumpur  Bukit Jalil,"Parking, Playground, Multipurpose hall, Security, Gymnasium",
Kuala Lumpur  Sentul,"Security, Barbeque area, Jogging Track, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Parking, Playground, Lift",", , "
Kuala Lumpur  Sri Hartamas,"Gymnasium, Parking, Swimming Pool, Security, Lift, Playground",", , "
Kuala Lumpur  Bukit Jalil,"Parking, Playground, Multipurpose hall, Security, Gymnasium",
Kuala Lumpur  KLCC,,
Kuala Lumpur  Jalan Kuching,"Gymnasium, Tennis Court, Swimming Pool, Sauna, Minimart, Playground, Parking, Security, Lift, Barbeque area",", , "
Kuala Lumpur  Old Klang Road,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT"
Kuala Lumpur  Cheras,,
Kuala Lumpur  Cheras,,
Kuala Lumpur  Keramat,"Gymnasium, Security, Swimming Pool, Minimart, Parking, Lift",
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart",", , , "
Kuala Lumpur  Bangsar South,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Sauna, Swimming Pool, Playground, Multipurpose hall, Barbeque area",
Kuala Lumpur  Setapak,"Security, Lift, Swimming Pool, Parking, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",", , , Near KTM/LRT, "
Kuala Lumpur  Keramat,"Parking, Minimart, Playground, Security, Lift",
Kuala Lumpur  Mont Kiara,,
Kuala Lumpur  Kuchai Lama,"Parking, Security, Tennis Court, Minimart, Gymnasium, Barbeque area, Playground, Swimming Pool, Squash Court, Sauna, Lift",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium",", "
Kuala Lumpur  Seputeh,"Gymnasium, Tennis Court, Barbeque area, Playground, Swimming Pool, Security, Jogging Track, Sauna, Parking, Multipurpose hall",", "
Kuala Lumpur  Old Klang Road,"Parking, Security, Lift, Swimming Pool",
Kuala Lumpur  KLCC,"Swimming Pool, Playground, Lift, Security, Parking, Gymnasium, Multipurpose hall, Minimart",", , , Near KTM/LRT"
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", Near KTM/LRT, , "
Kuala Lumpur  Titiwangsa,"Barbeque area, Jogging Track, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool",", , Near KTM/LRT, , "
Kuala Lumpur  OUG,"Sauna, Squash Court, Swimming Pool, Minimart, Playground, Parking, Security",
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Gymnasium, Multipurpose hall, Barbeque area, Squash Court",", , , Near KTM/LRT"
Kuala Lumpur  Pandan Indah,"Playground, Parking, Security, Barbeque area, Swimming Pool",", "
Kuala Lumpur  KLCC,"Minimart, Parking, Playground, Gymnasium, Barbeque area, Security, Swimming Pool, Sauna",", , , Near KTM/LRT"
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Keramat,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Keramat,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Security, Gymnasium, Barbeque area, Sauna, Parking, Minimart, Swimming Pool, Jogging Track",", "
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Gymnasium, Multipurpose hall, Minimart",", , "
Kuala Lumpur  KL City,"Parking, Playground, Swimming Pool, Gymnasium, Security, Lift, Sauna, Barbeque area, Multipurpose hall, Minimart",", , , "
Kuala Lumpur  Mont Kiara,"Security, Playground, Sauna, Swimming Pool, Gymnasium, Barbeque area, Lift, Parking, Multipurpose hall, Minimart, Club house",", , , "
Kuala Lumpur  Mont Kiara,"Swimming Pool, Gymnasium, Parking, Security, Minimart, Playground, Lift, Barbeque area, Jogging Track, Tennis Court",", , "
Kuala Lumpur  Cheras,"Playground, Gymnasium, Swimming Pool, Parking",", , "
Kuala Lumpur  Desa Petaling,"Security, Parking, Gymnasium, Tennis Court, Minimart, Swimming Pool",", "
Kuala Lumpur  Ampang,"Parking, Playground, Barbeque area, Security, Swimming Pool, Multipurpose hall",", "
Kuala Lumpur  Cheras,"Parking, Gymnasium, Playground, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Sungai Besi,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",
Kuala Lumpur  Kepong,"Lift, Parking, Minimart, Swimming Pool, Security, Playground, Gymnasium, Jogging Track, Multipurpose hall, Barbeque area",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Barbeque area, Sauna, Club house, Security, Gymnasium, Jogging Track, Playground, Multipurpose hall, Parking, Swimming Pool, Lift, Minimart",", , "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", "
Kuala Lumpur  Jalan Kuching,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Taman Melawati,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Bangsar South,"Playground, Gymnasium, Multipurpose hall, Security, Parking, Swimming Pool, Jogging Track, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Parking, Minimart, Swimming Pool, Security, Playground, Barbeque area, Lift, Gymnasium, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Parking, Playground, Gymnasium, Barbeque area, Swimming Pool, Tennis Court, Security, Minimart, Sauna, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Gymnasium, Swimming Pool, Parking, Security",
Kuala Lumpur  Bandar Menjalara,"Gymnasium, Barbeque area, Parking, Swimming Pool, Jogging Track, Sauna, Security, Playground, Lift",
Kuala Lumpur  Cheras,"Gymnasium, Swimming Pool, Parking, Security",
Kuala Lumpur  Mont Kiara,"Squash Court, Playground, Gymnasium, Security, Parking, Minimart, Swimming Pool, Jogging Track, Lift",
Kuala Lumpur  Kepong,"Gymnasium, Parking, Minimart, Swimming Pool, Security, Playground, Lift",
Kuala Lumpur  Cheras,"Tennis Court, Jogging Track, Multipurpose hall, Security, Barbeque area, Lift, Parking, Playground, Swimming Pool, Gymnasium, Minimart",", , Near KTM/LRT, , "
Kuala Lumpur  Desa Pandan,,", Near KTM/LRT"
Kuala Lumpur  Cheras,"Lift, Security, Parking, Playground, Gymnasium, Minimart, Barbeque area",", , "
Kuala Lumpur  KL City,"Club house, Parking, Swimming Pool, Security, Playground, Multipurpose hall, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,,
Kuala Lumpur  Cheras,"Parking, Security, Club house, Sauna, Playground, Gymnasium, Jogging Track, Barbeque area, Multipurpose hall, Lift, Swimming Pool, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Desa Petaling,"Playground, Tennis Court, Parking, Security, Barbeque area, Minimart, Swimming Pool, Gymnasium",
Kuala Lumpur  Kepong,"Multipurpose hall, Swimming Pool, Gymnasium, Tennis Court, Parking, Security, Playground, Barbeque area, Lift, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Jalan Kuching,"Barbeque area, Playground, Gymnasium, Tennis Court, Security, Swimming Pool, Sauna, Parking, Minimart, Lift",", , "
Kuala Lumpur  Keramat,"Swimming Pool, Multipurpose hall, Gymnasium, Parking, Security",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Playground, Swimming Pool, Lift, Gymnasium, Jogging Track, Barbeque area, Security",", Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Jogging Track, Security, Parking, Minimart, Lift, Playground",
Kuala Lumpur  Sungai Besi,"Security, Barbeque area, Parking, Playground, Jogging Track, Swimming Pool, Lift, Gymnasium",", , "
Kuala Lumpur  Desa Pandan,"Parking, Security, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Seputeh,"Security, Gymnasium, Jogging Track, Barbeque area, Multipurpose hall, Playground, Parking, Swimming Pool, Lift, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",
Kuala Lumpur  Bukit Jalil,"Minimart, Gymnasium, Security, Squash Court, Swimming Pool, Parking, Playground, Lift, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,"Playground, Barbeque area, Parking, Swimming Pool, Security, Lift, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Titiwangsa,"Security, Swimming Pool, Gymnasium, Playground, Jogging Track, Multipurpose hall, Barbeque area, Parking, Lift, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Ampang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Jinjang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Old Klang Road,"Tennis Court, Squash Court, Barbeque area, Security, Playground, Swimming Pool, Gymnasium, Parking, Minimart",", "
Kuala Lumpur  Cheras,"Security, Playground, Parking, Tennis Court, Jogging Track, Barbeque area, Lift, Multipurpose hall, Swimming Pool",", , , Near KTM/LRT"
Kuala Lumpur  Sri Petaling,"Minimart, Playground, Parking",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift",
Kuala Lumpur  Sentul,"Playground, Gymnasium, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Lift, Security",
Kuala Lumpur  Kepong,"Security, Parking, Minimart, Sauna, Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Lift, Club house, Playground, Squash Court, Multipurpose hall, Barbeque area",
Kuala Lumpur  Desa Pandan,"Swimming Pool, Playground, Jogging Track, Security, Minimart, Parking, Gymnasium",
Kuala Lumpur  Cheras,,
Kuala Lumpur  KL City,"Club house, Squash Court, Gymnasium, Tennis Court, Playground, Parking, Lift, Security",", , "
Kuala Lumpur  Sentul,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Multipurpose hall, Security, Playground, Gymnasium, Parking, Lift",", "
Kuala Lumpur  Taman Desa,"Security, Sauna, Parking, Playground, Gymnasium, Minimart, Tennis Court, Swimming Pool, Squash Court",", "
Kuala Lumpur  Segambut,,
Kuala Lumpur  Ampang,"Parking, Playground, Security, Lift, Swimming Pool, Gymnasium",
Kuala Lumpur  Kepong,"Security, Parking, Minimart, Sauna, Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Lift, Club house, Playground, Squash Court, Multipurpose hall, Barbeque area",Near KTM/LRT
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Bukit Jalil,"Swimming Pool, Multipurpose hall, Security, Parking, Playground, Lift",", , "
Kuala Lumpur  Cheras,"Gymnasium, Parking, Swimming Pool, Security",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,Playground,
Kuala Lumpur  Sri Petaling,"Parking, Lift, Security, Swimming Pool, Playground, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Kepong,,", Near KTM/LRT"
Kuala Lumpur  Sri Petaling,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Near KTM/LRT, , , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Security, Swimming Pool, Minimart, Jogging Track, Playground, Multipurpose hall",
Kuala Lumpur  Kepong,,
Kuala Lumpur  Cheras,"Gymnasium, Sauna, Minimart, Security, Playground, Parking, Lift, Swimming Pool",", "
Kuala Lumpur  Cheras,"Playground, Swimming Pool, Parking, Lift, Barbeque area, Security, Gymnasium, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Old Klang Road,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", "
Kuala Lumpur  Jalan Kuching,"Minimart, Playground, Swimming Pool, Tennis Court, Gymnasium, Sauna, Parking, Security, Lift",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT"
Kuala Lumpur  Pantai,"Minimart, Playground, Multipurpose hall, Parking, Security, Swimming Pool",", , "
Kuala Lumpur  Old Klang Road,"Barbeque area, Sauna, Multipurpose hall, Gymnasium, Playground, Swimming Pool, Security",
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT"
Kuala Lumpur  Keramat,"Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Lift, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Kuchai Lama,"Swimming Pool, Gymnasium, Parking, Sauna, Security, Playground, Jogging Track, Multipurpose hall",
Kuala Lumpur  Kepong,"Parking, Lift",
Kuala Lumpur  Desa Pandan,"Parking, Playground, Security",", "
Kuala Lumpur  KLCC,Parking,
Kuala Lumpur  Taman Melawati,"Minimart, Swimming Pool, Gymnasium, Parking, Security, Playground",
Kuala Lumpur  Desa Pandan,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track",
Kuala Lumpur  Sri Hartamas,,
Kuala Lumpur  KLCC,"Parking, Playground, Jogging Track, Lift, Gymnasium, Security, Swimming Pool","Near KTM/LRT, , , "
Kuala Lumpur  Sentul,"Swimming Pool, Jogging Track, Security, Playground, Gymnasium, Tennis Court, Multipurpose hall, Parking, Lift, Sauna, Barbeque area, Minimart, Club house, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Kuchai Lama,"Playground, Gymnasium, Lift, Security",
Kuala Lumpur  Kuchai Lama,"Security, Gymnasium, Barbeque area, Parking, Swimming Pool, Multipurpose hall, Playground, Lift",", , "
Kuala Lumpur  Desa Petaling,"Playground, Gymnasium, Parking, Security, Swimming Pool, Multipurpose hall, Jogging Track",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Titiwangsa,"Barbeque area, Gymnasium, Jogging Track, Multipurpose hall, Security, Playground, Swimming Pool",
Kuala Lumpur  Kepong,"Security, Swimming Pool, Barbeque area, Parking, Playground, Minimart, Lift",", , Near KTM/LRT"
Kuala Lumpur  Kepong,"Minimart, Gymnasium, Lift, Barbeque area, Security, Swimming Pool, Tennis Court, Jogging Track, Multipurpose hall, Club house, Sauna, Parking, Playground, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Swimming Pool, Barbeque area, Security, Playground, Gymnasium, Parking, Sauna, Multipurpose hall, Lift",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Gymnasium, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Ampang,"Minimart, Sauna, Security, Barbeque area, Parking, Playground, Swimming Pool",
Kuala Lumpur  Wangsa Maju,"Playground, Parking, Minimart, Swimming Pool, Security, Gymnasium, Multipurpose hall, Lift",
Kuala Lumpur  Cheras,"Playground, Gymnasium, Lift, Barbeque area, Parking, Swimming Pool, Security, Jogging Track, Sauna, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  KLCC,"Security, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Gymnasium, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Gombak,"Multipurpose hall, Gymnasium, Swimming Pool, Parking, Security, Lift, Playground, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Ampang,"Swimming Pool, Security, Minimart, Parking, Playground, Lift",", "
Kuala Lumpur  Pandan Jaya,"Playground, Minimart, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Minimart, Parking, Lift, Security",", "
Kuala Lumpur  Bukit Jalil,"Playground, Gymnasium, Multipurpose hall, Parking, Security",
Kuala Lumpur  Old Klang Road,"Parking, Lift, Playground",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",", Near KTM/LRT, "
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Barbeque area, Minimart, Multipurpose hall, Playground, Gymnasium, Tennis Court, Swimming Pool",
Kuala Lumpur  Pantai,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",
Kuala Lumpur  Keramat,"Barbeque area, Parking, Security, Gymnasium, Swimming Pool, Sauna",
Kuala Lumpur  Kepong,,", , "
Kuala Lumpur  Segambut,"Parking, Security, Lift, Swimming Pool, Playground",", , "
Kuala Lumpur  Setapak,"Parking, Multipurpose hall, Swimming Pool, Gymnasium, Sauna, Club house, Playground, Barbeque area, Security, Minimart",
Kuala Lumpur  Sentul,"Security, Minimart, Parking, Gymnasium, Playground",
Kuala Lumpur  Pantai,"Security, Jogging Track, Barbeque area, Swimming Pool, Parking, Club house, Playground, Gymnasium",
Kuala Lumpur  Jalan Ipoh,"Gymnasium, Parking, Security, Lift, Swimming Pool, Minimart",
Kuala Lumpur  Bukit Jalil,"Parking, Security, Minimart, Multipurpose hall",
Kuala Lumpur  Bukit Jalil,"Minimart, Multipurpose hall, Security, Parking",
Kuala Lumpur  Cheras,"Security, Parking, Playground, Lift, Swimming Pool, Gymnasium, Club house, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Kepong,"Gymnasium, Jogging Track, Minimart, Tennis Court, Squash Court, Lift, Security, Swimming Pool, Parking, Playground, Multipurpose hall",
