location,facilities,
Kuala Lumpur  Cheras,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Cheras,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT
Kuala Lumpur  Pantai,"Parking, Security, Playground, Swimming Pool, Gymnasium",", Near KTM/LRT, "
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area",", Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Playground, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground",
Kuala Lumpur  Taman Desa,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Playground, Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna",", , Near KTM/LRT, "
Kuala Lumpur  Sungai Besi,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking",", , "
Kuala Lumpur  Kepong,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall",", , , Near KTM/LRT"
Kuala Lumpur  Ampang,"Security, Playground, Lift",
Kuala Lumpur  Sungai Besi,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  KL City,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area",", , "
Kuala Lumpur  Jinjang,Lift,"Near KTM/LRT, "
Kuala Lumpur  Sri Petaling,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",
Kuala Lumpur  Sentul,"Parking, Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track","Near KTM/LRT, , , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, , , "
Kuala Lumpur  Sentul,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground",", Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", "
Kuala Lumpur  Bangsar South,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",
Kuala Lumpur  Setapak,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area",", , Near KTM/LRT"
Kuala Lumpur  Sentul,Parking,", "
Kuala Lumpur  Sentul,"Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",
Kuala Lumpur  Pantai,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Sri Petaling,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Desa Pandan,"Playground, Security, Parking",", "
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  Setapak,"Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift",
Kuala Lumpur  Wangsa Maju,"Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking",", , "
Kuala Lumpur  Brickfields,Parking,", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Playground, Swimming Pool, Jogging Track, Security, Tennis Court, Lift, Multipurpose hall, Parking, Gymnasium, Barbeque area, Minimart, Squash Court, Sauna, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Desa ParkCity,"Playground, Security, Parking, Gymnasium, Sauna, Jogging Track, Barbeque area, Lift, Swimming Pool",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Lift",
Kuala Lumpur  Jalan Ipoh,"Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court",", , "
Kuala Lumpur  Ampang,"Parking, Gymnasium, Jogging Track, Playground, Security, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Tennis Court",", , "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Cheras,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",
Kuala Lumpur  Kuchai Lama,"Security, Playground, Gymnasium, Lift, Parking",
Kuala Lumpur  Desa Pandan,"Minimart, Gymnasium, Lift, Parking, Security, Swimming Pool, Playground, Jogging Track, Barbeque area, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Setapak,,", , Near KTM/LRT"
Kuala Lumpur  Kepong,"Barbeque area, Swimming Pool, Security, Playground, Gymnasium, Parking, Lift, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Sultan Ismail,"Parking, Playground, Swimming Pool, Squash Court, Gymnasium",
Kuala Lumpur  KLCC,"Sauna, Parking, Swimming Pool, Playground, Club house, Security, Minimart, Gymnasium, Barbeque area",
Kuala Lumpur  Kepong,"Jogging Track, Security, Swimming Pool, Tennis Court, Lift, Multipurpose hall, Parking, Minimart, Playground, Barbeque area, Gymnasium",", "
Kuala Lumpur  KL City,"Gymnasium, Parking, Playground, Security, Minimart, Squash Court, Lift, Swimming Pool, Tennis Court, Jogging Track",
Kuala Lumpur  KL City,"Parking, Minimart, Security, Lift, Swimming Pool, Gymnasium",", , "
Kuala Lumpur  Kepong,"Security, Playground, Swimming Pool, Parking",
